Parking Garage,Parking Slot,Availability,Day,Time
Elm,A1,0,Tuesday,21:00
Elm,A2,1,Tuesday,21:00
Elm,A3,0,Tuesday,21:00
Elm,A4,0,Tuesday,21:00
Elm,A5,0,Tuesday,21:00
Elm,A6,0,Tuesday,21:00
Elm,B1,1,Tuesday,21:00
Elm,B2,1,Tuesday,21:00
Elm,B3,1,Tuesday,21:00
Elm,B4,0,Tuesday,21:00
Elm,B5,0,Tuesday,21:00
Elm,B6,1,Tuesday,21:00
Elm,C1,0,Tuesday,21:00
Elm,C2,1,Tuesday,21:00
Elm,C3,1,Tuesday,21:00
Elm,C4,0,Tuesday,21:00
Elm,C5,1,Tuesday,21:00
Elm,C6,1,Tuesday,21:00
Elm,D1,1,Tuesday,21:00
Elm,D2,0,Tuesday,21:00
Elm,D3,0,Tuesday,21:00
Elm,D4,0,Tuesday,21:00
Elm,D5,0,Tuesday,21:00
Elm,D6,0,Tuesday,21:00
Elm,E1,0,Tuesday,21:00
Elm,E2,1,Tuesday,21:00
Elm,E3,0,Tuesday,21:00
Elm,E4,1,Tuesday,21:00
Elm,E5,1,Tuesday,21:00
Elm,E6,1,Tuesday,21:00
ASP,A1,0,Tuesday,21:00
ASP,A2,1,Tuesday,21:00
ASP,A3,0,Tuesday,21:00
ASP,A4,0,Tuesday,21:00
ASP,A5,0,Tuesday,21:00
ASP,A6,0,Tuesday,21:00
ASP,B1,1,Tuesday,21:00
ASP,B2,1,Tuesday,21:00
ASP,B3,1,Tuesday,21:00
ASP,B4,0,Tuesday,21:00
ASP,B5,0,Tuesday,21:00
ASP,B6,1,Tuesday,21:00
ASP,C1,0,Tuesday,21:00
ASP,C2,1,Tuesday,21:00
ASP,C3,1,Tuesday,21:00
ASP,C4,0,Tuesday,21:00
ASP,C5,1,Tuesday,21:00
ASP,C6,1,Tuesday,21:00
ASP,D1,1,Tuesday,21:00
ASP,D2,0,Tuesday,21:00
ASP,D3,0,Tuesday,21:00
ASP,D4,0,Tuesday,21:00
ASP,D5,0,Tuesday,21:00
ASP,D6,0,Tuesday,21:00
ASP,E1,0,Tuesday,21:00
ASP,E2,1,Tuesday,21:00
ASP,E3,0,Tuesday,21:00
ASP,E4,1,Tuesday,21:00
ASP,E5,1,Tuesday,21:00
ASP,E6,1,Tuesday,21:00
ASP,F1,0,Tuesday,21:00
ASP,F2,1,Tuesday,21:00
ASP,F3,0,Tuesday,21:00
ASP,F4,1,Tuesday,21:00
ASP,F5,0,Tuesday,21:00
ASP,F6,0,Tuesday,21:00
Jenkins,A1,0,Tuesday,21:00
Jenkins,A2,1,Tuesday,21:00
Jenkins,A3,0,Tuesday,21:00
Jenkins,A4,0,Tuesday,21:00
Jenkins,A5,0,Tuesday,21:00
Jenkins,A6,0,Tuesday,21:00
Jenkins,B1,1,Tuesday,21:00
Jenkins,B2,1,Tuesday,21:00
Jenkins,B3,1,Tuesday,21:00
Jenkins,B4,0,Tuesday,21:00
Jenkins,B5,0,Tuesday,21:00
Jenkins,B6,1,Tuesday,21:00
Jenkins,C1,0,Tuesday,21:00
Jenkins,C2,1,Tuesday,21:00
Jenkins,C3,1,Tuesday,21:00
Jenkins,C4,0,Tuesday,21:00
Jenkins,C5,1,Tuesday,21:00
Jenkins,C6,1,Tuesday,21:00
Jenkins,D1,1,Tuesday,21:00
Jenkins,D2,0,Tuesday,21:00
Jenkins,D3,0,Tuesday,21:00
Jenkins,D4,0,Tuesday,21:00
Jenkins,D5,0,Tuesday,21:00
Jenkins,D6,0,Tuesday,21:00
Jenkins,E1,0,Tuesday,21:00
Jenkins,E2,1,Tuesday,21:00
Jenkins,E3,0,Tuesday,21:00
Jenkins,E4,1,Tuesday,21:00
Jenkins,E5,1,Tuesday,21:00
Jenkins,E6,1,Tuesday,21:00
Jenkins,F1,0,Tuesday,21:00
Jenkins,F2,1,Tuesday,21:00
Jenkins,F3,0,Tuesday,21:00
Jenkins,F4,1,Tuesday,21:00
Jenkins,F5,0,Tuesday,21:00
Jenkins,F6,0,Tuesday,21:00
